# z(m), vz(m/s)
1.000000000000000000e+01,2.999999999999999289e+01
2.000000000000000000e+01,3.328708416203519249e+01
3.000000000000000000e+01,3.537442937044094293e+01
4.000000000000000000e+01,3.693433240034749332e+01
5.000000000000000000e+01,3.819150346639266758e+01
