# z(m), vz(m/s), Iu
5.000000000000000000e+00,2.703751387832489073e+01,1.537910813868013926e-01
1.000000000000000000e+01,3.000000000000005684e+01,1.433549219312170442e-01
1.500000000000000000e+01,3.188122083470411994e+01,1.379628794570006145e-01
2.000000000000000000e+01,3.328708416203514986e+01,1.313031442632043855e-01
2.500000000000000000e+01,3.442011016688959302e+01,1.227559800071566787e-01
3.000000000000000000e+01,3.537442937044105662e+01,1.198572153834550347e-01
3.500000000000000000e+01,3.620190808367665625e+01,1.176810263260375661e-01
4.000000000000000000e+01,3.693433240034732279e+01,1.140160507396946327e-01
4.500000000000000000e+01,3.759266648868887017e+01,1.125317339412333778e-01
5.000000000000000000e+01,3.819150346639256810e+01,1.120103625825868837e-01
5.500000000000000000e+01,3.874143098591701317e+01,1.120993141447256952e-01
6.000000000000000000e+01,3.925038692126153705e+01,1.101459658881224352e-01
